Issue Type,Summary,Description,Sprint Period
"Sub-task","Instalar dependências base (framework, typescript (se aplicável), linter, formatter).","Subtarefa da Story: Como desenvolvedor, quero configurar o ambiente de desenvolvimento padrão para o projeto.","Semana 1 e 2"
"Sub-task","Configurar scripts básicos no `package.json` (start, dev, lint, build).","Subtarefa da Story: Como desenvolvedor, quero configurar o ambiente de desenvolvimento padrão para o projeto.","Semana 1 e 2"
"Sub-task","Inicializar e configurar repositório Git (`.gitignore`).","Subtarefa da Story: Como desenvolvedor, quero configurar o ambiente de desenvolvimento padrão para o projeto.","Semana 1 e 2"
"Story","Como desenvolvedor, quero criar funções utilitárias reutilizáveis para formatar dados conforme o padrão CNAB.","","Semana 1 e 2"
"Sub-task","Implementar função `formatNumeric(value, length)` (padding com zeros à esquerda).","Subtarefa da Story: Como desenvolvedor, quero criar funções utilitárias reutilizáveis para formatar dados conforme o padrão CNAB.","Semana 1 e 2"
"Sub-task","Implementar função `formatAlpha(value, length)` (uppercase, padding com brancos à direita).","Subtarefa da Story: Como desenvolvedor, quero criar funções utilitárias reutilizáveis para formatar dados conforme o padrão CNAB.","Semana 1 e 2"
"Sub-task","Implementar função `formatDate(date)` (formato DDMMAAAA).","Subtarefa da Story: Como desenvolvedor, quero criar funções utilitárias reutilizáveis para formatar dados conforme o padrão CNAB.","Semana 1 e 2"
"Sub-task","Implementar função `formatValue(value, decimals)` (formato numérico com decimais implícitos, padding com zeros).","Subtarefa da Story: Como desenvolvedor, quero criar funções utilitárias reutilizáveis para formatar dados conforme o padrão CNAB.","Semana 1 e 2"
"Sub-task","Escrever testes unitários para as funções de formatação.","Subtarefa da Story: Como desenvolvedor, quero criar funções utilitárias reutilizáveis para formatar dados conforme o padrão CNAB.","Semana 1 e 2"
"Story","Como desenvolvedor, quero gerar o Header e Trailer de Arquivo CNAB 240.","","Semana 3 e 4"
"Sub-task","Implementar módulo/serviço para gerar a linha do Header de Arquivo (Registro 0) com dados da empresa.","Subtarefa da Story: Como desenvolvedor, quero gerar o Header e Trailer de Arquivo CNAB 240.","Semana 3 e 4"
"Sub-task","Implementar módulo/serviço para gerar a linha do Trailer de Arquivo (Registro 9) com totais (inicialmente zerados ou placeholders).","Subtarefa da Story: Como desenvolvedor, quero gerar o Header e Trailer de Arquivo CNAB 240.","Semana 3 e 4"
"Sub-task","Escrever testes unitários para Header/Trailer de Arquivo.","Subtarefa da Story: Como desenvolvedor, quero gerar o Header e Trailer de Arquivo CNAB 240.","Semana 3 e 4"
"Story","Como desenvolvedor, quero gerar o Header e Trailer de Lote para Pagamento de Fornecedores (Tipo 20).","","Semana 3 e 4"
"Sub-task","Implementar módulo/serviço para gerar a linha do Header de Lote (Registro 1) para Serviço 20 (Fornecedores), Forma 01/03 (Crédito C/C / TED).","Subtarefa da Story: Como desenvolvedor, quero gerar o Header e Trailer de Lote para Pagamento de Fornecedores (Tipo 20).","Semana 3 e 4"
"Sub-task","Implementar lógica para calcular e gerar a linha do Trailer de Lote (Registro 5) com somatória de valores e quantidade de registros do lote.","Subtarefa da Story: Como desenvolvedor, quero gerar o Header e Trailer de Lote para Pagamento de Fornecedores (Tipo 20).","Semana 3 e 4"
"Sub-task","Escrever testes unitários para Header/Trailer de Lote.","Subtarefa da Story: Como desenvolvedor, quero gerar o Header e Trailer de Lote para Pagamento de Fornecedores (Tipo 20).","Semana 3 e 4"
"Story","Como desenvolvedor, quero gerar os Segmentos A e B para Pagamento de Fornecedores via Crédito em Conta Corrente.","","Semana 3 e 4"
"Sub-task","Implementar módulo/serviço para mapear dados de entrada (payload da API ou estrutura interna) para os campos do Segmento A.","Subtarefa da Story: Como desenvolvedor, quero gerar os Segmentos A e B para Pagamento de Fornecedores via Crédito em Conta Corrente.","Semana 3 e 4"
"Sub-task","Implementar função para gerar a linha formatada do Segmento A.","Subtarefa da Story: Como desenvolvedor, quero gerar os Segmentos A e B para Pagamento de Fornecedores via Crédito em Conta Corrente.","Semana 3 e 4"
"Sub-task","Implementar módulo/serviço para mapear dados de entrada para os campos do Segmento B (considerar campos obrigatórios/opcionais).","Subtarefa da Story: Como desenvolvedor, quero gerar os Segmentos A e B para Pagamento de Fornecedores via Crédito em Conta Corrente.","Semana 3 e 4"
"Sub-task","Implementar função para gerar a linha formatada do Segmento B.","Subtarefa da Story: Como desenvolvedor, quero gerar os Segmentos A e B para Pagamento de Fornecedores via Crédito em Conta Corrente.","Semana 3 e 4"
"Sub-task","Escrever testes unitários para Segmentos A e B.","Subtarefa da Story: Como desenvolvedor, quero gerar os Segmentos A e B para Pagamento de Fornecedores via Crédito em Conta Corrente.","Semana 3 e 4"
"Story","Como desenvolvedor, quero integrar a geração dos registros para formar um arquivo CNAB básico.","","Semana 3 e 4"
"Sub-task","Criar um serviço/orquestrador que receba os dados de um lote de pagamentos (Crédito C/C).","Subtarefa da Story: Como desenvolvedor, quero integrar a geração dos registros para formar um arquivo CNAB básico.","Semana 3 e 4"
"Sub-task","Chamar as funções de geração na ordem correta: Header Arquivo -> Header Lote -> [Segmento A + Segmento B] (para cada pagamento) -> Trailer Lote -> Trailer Arquivo.","Subtarefa da Story: Como desenvolvedor, quero integrar a geração dos registros para formar um arquivo CNAB básico.","Semana 3 e 4"
"Sub-task","Implementar a atualização dos contadores e somatórias nos Trailers.","Subtarefa da Story: Como desenvolvedor, quero integrar a geração dos registros para formar um arquivo CNAB básico.","Semana 3 e 4"
"Sub-task","Escrever teste de integração para gerar um arquivo completo com 1 lote e 1 pagamento.","Subtarefa da Story: Como desenvolvedor, quero integrar a geração dos registros para formar um arquivo CNAB básico.","Semana 3 e 4"
"Story","Como desenvolvedor, quero gerar o Header e Trailer de Lote para Pagamento de Títulos (Serviço 20, Forma 30/31).","","Semana 5 e 6"
"Sub-task","Adaptar/criar Header de Lote (Registro 1) para Serviço 20, Forma 30/31.","Subtarefa da Story: Como desenvolvedor, quero gerar o Header e Trailer de Lote para Pagamento de Títulos (Serviço 20, Forma 30/31).","Semana 5 e 6"
"Sub-task","Garantir que o Trailer de Lote (Registro 5) funcione corretamente com os totais deste tipo de pagamento.","Subtarefa da Story: Como desenvolvedor, quero gerar o Header e Trailer de Lote para Pagamento de Títulos (Serviço 20, Forma 30/31).","Semana 5 e 6"
"Sub-task","Escrever/adaptar testes unitários.","Subtarefa da Story: Como desenvolvedor, quero gerar o Header e Trailer de Lote para Pagamento de Títulos (Serviço 20, Forma 30/31).","Semana 5 e 6"
"Story","Como desenvolvedor, quero gerar o Segmento J para Pagamento de Boletos.","","Semana 5 e 6"
"Sub-task","Implementar módulo/serviço para mapear dados de entrada (código de barras, datas, valores) para os campos do Segmento J.","Subtarefa da Story: Como desenvolvedor, quero gerar o Segmento J para Pagamento de Boletos.","Semana 5 e 6"
"Sub-task","Implementar função para gerar a linha formatada do Segmento J.","Subtarefa da Story: Como desenvolvedor, quero gerar o Segmento J para Pagamento de Boletos.","Semana 5 e 6"
"Sub-task","Escrever testes unitários para Segmento J.","Subtarefa da Story: Como desenvolvedor, quero gerar o Segmento J para Pagamento de Boletos.","Semana 5 e 6"
"Story","Como desenvolvedor, quero gerar o Segmento J-52 para Pagamento de Boletos.","","Semana 5 e 6"
"Sub-task","Implementar módulo/serviço para mapear dados de entrada (dados do pagador, beneficiário, identificadores) para os campos do Segmento J-52.","Subtarefa da Story: Como desenvolvedor, quero gerar o Segmento J-52 para Pagamento de Boletos.","Semana 5 e 6"
"Sub-task","Implementar função para gerar a linha formatada do Segmento J-52.","Subtarefa da Story: Como desenvolvedor, quero gerar o Segmento J-52 para Pagamento de Boletos.","Semana 5 e 6"
"Sub-task","Escrever testes unitários para Segmento J-52.","Subtarefa da Story: Como desenvolvedor, quero gerar o Segmento J-52 para Pagamento de Boletos.","Semana 5 e 6"
"Story","Como desenvolvedor, quero integrar a geração dos Segmentos J/J-52 no fluxo de criação do arquivo.","","Semana 5 e 6"
"Sub-task","Adaptar o orquestrador para suportar lotes de Pagamento de Títulos.","Subtarefa da Story: Como desenvolvedor, quero integrar a geração dos Segmentos J/J-52 no fluxo de criação do arquivo.","Semana 5 e 6"
"Sub-task","Garantir a ordem correta: Header Arquivo -> Header Lote -> [Segmento J + Segmento J-52] (para cada boleto) -> Trailer Lote -> Trailer Arquivo.","Subtarefa da Story: Como desenvolvedor, quero integrar a geração dos Segmentos J/J-52 no fluxo de criação do arquivo.","Semana 5 e 6"
"Sub-task","Escrever teste de integração para gerar um arquivo completo com 1 lote de pagamento de boletos.","Subtarefa da Story: Como desenvolvedor, quero integrar a geração dos Segmentos J/J-52 no fluxo de criação do arquivo.","Semana 5 e 6"
"Story","Como cliente da API, quero um endpoint para submeter pagamentos de fornecedores via Crédito C/C.","","Semana 7 e 8"
"Sub-task","Definir a rota e o método HTTP (ex: `POST /api/remessa/fornecedores/credito`).","Subtarefa da Story: Como cliente da API, quero um endpoint para submeter pagamentos de fornecedores via Crédito C/C.","Semana 7 e 8"
"Sub-task","Implementar o controller da API para receber a requisição HTTP.","Subtarefa da Story: Como cliente da API, quero um endpoint para submeter pagamentos de fornecedores via Crédito C/C.","Semana 7 e 8"
"Sub-task","Definir o schema de validação do payload da requisição (usando Joi, Zod ou similar).","Subtarefa da Story: Como cliente da API, quero um endpoint para submeter pagamentos de fornecedores via Crédito C/C.","Semana 7 e 8"
"Sub-task","Implementar a lógica de validação no controller ou em um middleware.","Subtarefa da Story: Como cliente da API, quero um endpoint para submeter pagamentos de fornecedores via Crédito C/C.","Semana 7 e 8"
"Story","Como desenvolvedor, quero integrar o endpoint da API com a lógica de geração CNAB existente.","","Semana 7 e 8"
"Sub-task","Chamar o serviço orquestrador (criado/adaptado nas Sprints 2/3) a partir do controller da API.","Subtarefa da Story: Como desenvolvedor, quero integrar o endpoint da API com a lógica de geração CNAB existente.","Semana 7 e 8"
"Sub-task","Mapear o payload validado da requisição para a estrutura de dados interna esperada pelo serviço orquestrador.","Subtarefa da Story: Como desenvolvedor, quero integrar o endpoint da API com a lógica de geração CNAB existente.","Semana 7 e 8"
"Sub-task","Implementar tratamento de sucesso e erro na chamada do serviço orquestrador.","Subtarefa da Story: Como desenvolvedor, quero integrar o endpoint da API com a lógica de geração CNAB existente.","Semana 7 e 8"
"Story","Como cliente da API, quero receber o arquivo de remessa `.rem` gerado ou uma mensagem de erro clara.","","Semana 7 e 8"
"Sub-task","Implementar a lógica no controller para configurar a resposta HTTP com o arquivo gerado (ex: `Content-Type: application/octet-stream`, `Content-Disposition: attachment; filename=""remessa.rem""`).","Subtarefa da Story: Como cliente da API, quero receber o arquivo de remessa `.rem` gerado ou uma mensagem de erro clara.","Semana 7 e 8"
"Sub-task","Implementar tratamento de erros centralizado ou no controller para retornar status codes HTTP apropriados (ex: 400 Bad Request, 500 Internal Server Error) com mensagens claras.","Subtarefa da Story: Como cliente da API, quero receber o arquivo de remessa `.rem` gerado ou uma mensagem de erro clara.","Semana 7 e 8"
"Story","Como desenvolvedor, quero garantir que o endpoint funcione corretamente através de testes de API.","","Semana 7 e 8"
"Sub-task","Configurar um framework de teste de API (ex: Supertest com Jest).","Subtarefa da Story: Como desenvolvedor, quero garantir que o endpoint funcione corretamente através de testes de API.","Semana 7 e 8"
"Sub-task","Escrever testes automatizados para validar o endpoint com payloads válidos.","Subtarefa da Story: Como desenvolvedor, quero garantir que o endpoint funcione corretamente através de testes de API.","Semana 7 e 8"
"Sub-task","Escrever testes automatizados para validar o endpoint com payloads inválidos (campos faltando, tipos errados, etc.).","Subtarefa da Story: Como desenvolvedor, quero garantir que o endpoint funcione corretamente através de testes de API.","Semana 7 e 8"
"Sub-task","Escrever testes para verificar as respostas de sucesso (status code 200, headers corretos).","Subtarefa da Story: Como desenvolvedor, quero garantir que o endpoint funcione corretamente através de testes de API.","Semana 7 e 8"
"Sub-task","Escrever testes para verificar as respostas de erro (status codes 4xx, 5xx).","Subtarefa da Story: Como desenvolvedor, quero garantir que o endpoint funcione corretamente através de testes de API.","Semana 7 e 8"
"Story","Como desenvolvedor, quero gerar o Header e Trailer de Lote para Pagamento de Salários (Serviço 30).","","Semana 9 e 10"
"Sub-task","Adaptar/criar a lógica para gerar o Header de Lote (Registro 1) específico para Serviço 30, Forma 01 (Crédito C/C Salário).","Subtarefa da Story: Como desenvolvedor, quero gerar o Header e Trailer de Lote para Pagamento de Salários (Serviço 30).","Semana 9 e 10"
"Sub-task","Garantir que o cálculo de totais no Trailer de Lote (Registro 5) esteja correto para este serviço.","Subtarefa da Story: Como desenvolvedor, quero gerar o Header e Trailer de Lote para Pagamento de Salários (Serviço 30).","Semana 9 e 10"
"Sub-task","Escrever/adaptar testes unitários para Header/Trailer de Lote (Serviço 30).","Subtarefa da Story: Como desenvolvedor, quero gerar o Header e Trailer de Lote para Pagamento de Salários (Serviço 30).","Semana 9 e 10"
"Story","Como desenvolvedor, quero gerar os Segmentos A e B para Pagamento de Salários.","","Semana 9 e 10"
"Sub-task","Analisar se há campos específicos nos Segmentos A e B que precisam ser tratados diferentemente para Salários em comparação com Fornecedores.","Subtarefa da Story: Como desenvolvedor, quero gerar os Segmentos A e B para Pagamento de Salários.","Semana 9 e 10"
"Sub-task","Adaptar ou reutilizar os módulos/serviços de geração dos Segmentos A e B.","Subtarefa da Story: Como desenvolvedor, quero gerar os Segmentos A e B para Pagamento de Salários.","Semana 9 e 10"
"Sub-task","Escrever/adaptar testes unitários para Segmentos A/B no contexto de Salários.","Subtarefa da Story: Como desenvolvedor, quero gerar os Segmentos A e B para Pagamento de Salários.","Semana 9 e 10"
"Story","Como desenvolvedor, quero gerar os Segmentos C, D, E, F (Opcionais) para Holerite/Informe de Rendimentos.","","Semana 9 e 10"
"Sub-task","Analisar detalhadamente a estrutura e os campos dos Segmentos C, D, E, F no Manual CNAB SISPAG (Anexo D).","Subtarefa da Story: Como desenvolvedor, quero gerar os Segmentos C, D, E, F (Opcionais) para Holerite/Informe de Rendimentos.","Semana 9 e 10"
"Sub-task","Implementar módulos/serviços para mapear dados de holerite/informe de rendimentos para os campos destes segmentos.","Subtarefa da Story: Como desenvolvedor, quero gerar os Segmentos C, D, E, F (Opcionais) para Holerite/Informe de Rendimentos.","Semana 9 e 10"
"Sub-task","Implementar funções para gerar as linhas formatadas dos Segmentos C, D, E, F.","Subtarefa da Story: Como desenvolvedor, quero gerar os Segmentos C, D, E, F (Opcionais) para Holerite/Informe de Rendimentos.","Semana 9 e 10"
"Sub-task","Escrever testes unitários para cada um dos Segmentos C, D, E, F.","Subtarefa da Story: Como desenvolvedor, quero gerar os Segmentos C, D, E, F (Opcionais) para Holerite/Informe de Rendimentos.","Semana 9 e 10"
"Story","Como desenvolvedor, quero integrar a geração dos segmentos de Salários (incluindo opcionais) no fluxo de criação do arquivo.","","Semana 9 e 10"
"Sub-task","Adaptar o serviço orquestrador para identificar e incluir os Segmentos C/D/E/F quando os dados correspondentes forem fornecidos para um pagamento de salário.","Subtarefa da Story: Como desenvolvedor, quero integrar a geração dos segmentos de Salários (incluindo opcionais) no fluxo de criação do arquivo.","Semana 9 e 10"
"Sub-task","Garantir a ordem correta de geração dentro do lote: Header Lote -> [A + B (+ C + D + E + F)] -> Trailer Lote.","Subtarefa da Story: Como desenvolvedor, quero integrar a geração dos segmentos de Salários (incluindo opcionais) no fluxo de criação do arquivo.","Semana 9 e 10"
"Sub-task","Escrever teste de integração para gerar um arquivo completo com 1 lote de pagamentos de salários, incluindo cenários com e sem os segmentos opcionais.","Subtarefa da Story: Como desenvolvedor, quero integrar a geração dos segmentos de Salários (incluindo opcionais) no fluxo de criação do arquivo.","Semana 9 e 10"
"Story","Como cliente da API, quero um endpoint para submeter pagamentos de salários, incluindo dados opcionais de holerite.","","Semana 9 e 10"
"Sub-task","Definir e implementar a rota da API (ex: `POST /api/remessa/salarios`).","Subtarefa da Story: Como cliente da API, quero um endpoint para submeter pagamentos de salários, incluindo dados opcionais de holerite.","Semana 9 e 10"
"Sub-task","Definir e implementar a validação do payload, incluindo os campos opcionais para os Segmentos C/D/E/F.","Subtarefa da Story: Como cliente da API, quero um endpoint para submeter pagamentos de salários, incluindo dados opcionais de holerite.","Semana 9 e 10"
"Sub-task","Integrar o controller com o serviço orquestrador para o fluxo de salários.","Subtarefa da Story: Como cliente da API, quero um endpoint para submeter pagamentos de salários, incluindo dados opcionais de holerite.","Semana 9 e 10"
"Sub-task","Escrever testes de API para o endpoint de salários (cenários com e sem dados opcionais).","Subtarefa da Story: Como cliente da API, quero um endpoint para submeter pagamentos de salários, incluindo dados opcionais de holerite.","Semana 9 e 10"
"Story","Como desenvolvedor, quero gerar o Header e Trailer de Lote para Pagamento de Tributos (Serviço 22).","","Semana 11 e 12"
"Sub-task","Adaptar/criar a lógica para gerar o Header de Lote (Registro 1) específico para Serviço 22, considerando as diversas Formas (16-DARF, 18-GPS, 19-GARE, 21-GNRE, 22-FGTS, etc.).","Subtarefa da Story: Como desenvolvedor, quero gerar o Header e Trailer de Lote para Pagamento de Tributos (Serviço 22).","Semana 11 e 12"
"Sub-task","Garantir que o cálculo de totais no Trailer de Lote (Registro 5) esteja correto para este serviço.","Subtarefa da Story: Como desenvolvedor, quero gerar o Header e Trailer de Lote para Pagamento de Tributos (Serviço 22).","Semana 11 e 12"
"Sub-task","Escrever/adaptar testes unitários para Header/Trailer de Lote (Serviço 22).","Subtarefa da Story: Como desenvolvedor, quero gerar o Header e Trailer de Lote para Pagamento de Tributos (Serviço 22).","Semana 11 e 12"
"Story","Como desenvolvedor, quero gerar o Segmento O para Tributos e Contas de Concessionárias com Código de Barras.","","Semana 11 e 12"
"Sub-task","Analisar detalhadamente a estrutura e os campos do Segmento O no Manual CNAB SISPAG.","Subtarefa da Story: Como desenvolvedor, quero gerar o Segmento O para Tributos e Contas de Concessionárias com Código de Barras.","Semana 11 e 12"
"Sub-task","Implementar módulo/serviço para mapear dados de entrada (código de barras completo, data de vencimento, data de pagamento, valor) para os campos do Segmento O.","Subtarefa da Story: Como desenvolvedor, quero gerar o Segmento O para Tributos e Contas de Concessionárias com Código de Barras.","Semana 11 e 12"
"Sub-task","Implementar função para gerar a linha formatada do Segmento O.","Subtarefa da Story: Como desenvolvedor, quero gerar o Segmento O para Tributos e Contas de Concessionárias com Código de Barras.","Semana 11 e 12"
"Sub-task","Escrever testes unitários para Segmento O.","Subtarefa da Story: Como desenvolvedor, quero gerar o Segmento O para Tributos e Contas de Concessionárias com Código de Barras.","Semana 11 e 12"
"Story","Como desenvolvedor, quero gerar o Segmento N (e opcionais B/W) para Tributos sem Código de Barras (DARF, GPS).","","Semana 11 e 12"
"Sub-task","Analisar detalhadamente a estrutura e os campos dos Segmentos N, B (Opcional), W (Opcional GARE SP) no Manual CNAB SISPAG (Anexo C).","Subtarefa da Story: Como desenvolvedor, quero gerar o Segmento N (e opcionais B/W) para Tributos sem Código de Barras (DARF, GPS).","Semana 11 e 12"
"Sub-task","Implementar módulo/serviço para mapear dados de entrada (código da receita, identificadores, datas, valores, informações complementares) para os campos dos Segmentos N, B, W.","Subtarefa da Story: Como desenvolvedor, quero gerar o Segmento N (e opcionais B/W) para Tributos sem Código de Barras (DARF, GPS).","Semana 11 e 12"
"Sub-task","Implementar funções para gerar as linhas formatadas dos Segmentos N, B, W.","Subtarefa da Story: Como desenvolvedor, quero gerar o Segmento N (e opcionais B/W) para Tributos sem Código de Barras (DARF, GPS).","Semana 11 e 12"
"Sub-task","Escrever testes unitários para Segmentos N, B, W.","Subtarefa da Story: Como desenvolvedor, quero gerar o Segmento N (e opcionais B/W) para Tributos sem Código de Barras (DARF, GPS).","Semana 11 e 12"
"Story","Como desenvolvedor, quero integrar a geração dos segmentos de Tributos no fluxo de criação do arquivo.","","Semana 11 e 12"
"Sub-task","Adaptar o serviço orquestrador para identificar o tipo de tributo (com ou sem código de barras) e gerar os segmentos corretos (O ou N+B/W).","Subtarefa da Story: Como desenvolvedor, quero integrar a geração dos segmentos de Tributos no fluxo de criação do arquivo.","Semana 11 e 12"
"Sub-task","Garantir a ordem correta de geração dentro do lote: Header Lote -> [O] ou [N (+ B + W)] -> Trailer Lote.","Subtarefa da Story: Como desenvolvedor, quero integrar a geração dos segmentos de Tributos no fluxo de criação do arquivo.","Semana 11 e 12"
"Sub-task","Escrever testes de integração para gerar arquivos completos com lotes de tributos (um lote com código de barras, outro sem).","Subtarefa da Story: Como desenvolvedor, quero integrar a geração dos segmentos de Tributos no fluxo de criação do arquivo.","Semana 11 e 12"
"Story","Como cliente da API, quero um endpoint para submeter pagamentos de tributos.","","Semana 11 e 12"
"Sub-task","Definir e implementar a rota da API (ex: `POST /api/remessa/tributos`).","Subtarefa da Story: Como cliente da API, quero um endpoint para submeter pagamentos de tributos.","Semana 11 e 12"
"Sub-task","Definir e implementar a validação do payload, que deve permitir distinguir claramente entre tributos com código de barras e sem código de barras, incluindo todos os campos necessários para cada caso.","Subtarefa da Story: Como cliente da API, quero um endpoint para submeter pagamentos de tributos.","Semana 11 e 12"
"Sub-task","Integrar o controller com o serviço orquestrador para o fluxo de tributos.","Subtarefa da Story: Como cliente da API, quero um endpoint para submeter pagamentos de tributos.","Semana 11 e 12"
"Sub-task","Escrever testes de API para o endpoint de tributos (cenários com e sem código de barras).","Subtarefa da Story: Como cliente da API, quero um endpoint para submeter pagamentos de tributos.","Semana 11 e 12"
"Story","Como desenvolvedor, quero configurar a geração de um arquivo CNAB exclusivo para pagamentos PIX.","","Semana 13 e 14"
"Sub-task","Analisar o manual para verificar se há indicadores específicos no Header/Trailer de Arquivo para PIX.","Subtarefa da Story: Como desenvolvedor, quero configurar a geração de um arquivo CNAB exclusivo para pagamentos PIX.","Semana 13 e 14"
"Sub-task","Adaptar a lógica de geração de Header/Trailer de Arquivo para indicar que contém apenas PIX, se aplicável.","Subtarefa da Story: Como desenvolvedor, quero configurar a geração de um arquivo CNAB exclusivo para pagamentos PIX.","Semana 13 e 14"
"Sub-task","Adaptar/criar a lógica para gerar o Header de Lote (Registro 1) específico para PIX (Serviço 20 ou outro, Forma 07/08 para Transferência, Forma 45 para QR Code).","Subtarefa da Story: Como desenvolvedor, quero configurar a geração de um arquivo CNAB exclusivo para pagamentos PIX.","Semana 13 e 14"
"Sub-task","Garantir que o cálculo de totais no Trailer de Lote (Registro 5) esteja correto para lotes PIX.","Subtarefa da Story: Como desenvolvedor, quero configurar a geração de um arquivo CNAB exclusivo para pagamentos PIX.","Semana 13 e 14"
"Sub-task","Escrever/adaptar testes unitários para Header/Trailer de Arquivo/Lote no contexto PIX.","Subtarefa da Story: Como desenvolvedor, quero configurar a geração de um arquivo CNAB exclusivo para pagamentos PIX.","Semana 13 e 14"
"Story","Como desenvolvedor, quero gerar os Segmentos A e B para PIX Transferência (usando Chave PIX).","","Semana 13 e 14"
"Sub-task","Adaptar os módulos/serviços dos Segmentos A e B para preencher corretamente os campos específicos de PIX (Tipo de Chave, Chave PIX, etc.).","Subtarefa da Story: Como desenvolvedor, quero gerar os Segmentos A e B para PIX Transferência (usando Chave PIX).","Semana 13 e 14"
"Sub-task","Garantir que outros campos não aplicáveis ao PIX sejam preenchidos conforme o manual (zeros ou brancos).","Subtarefa da Story: Como desenvolvedor, quero gerar os Segmentos A e B para PIX Transferência (usando Chave PIX).","Semana 13 e 14"
"Sub-task","Escrever/adaptar testes unitários para Segmentos A/B no contexto PIX Transferência.","Subtarefa da Story: Como desenvolvedor, quero gerar os Segmentos A e B para PIX Transferência (usando Chave PIX).","Semana 13 e 14"
"Story","Como desenvolvedor, quero gerar os Segmentos J e J-52 PIX para pagamentos via PIX QR Code.","","Semana 13 e 14"
"Sub-task","Adaptar o módulo/serviço do Segmento J para o contexto PIX QR Code (Forma 45).","Subtarefa da Story: Como desenvolvedor, quero gerar os Segmentos J e J-52 PIX para pagamentos via PIX QR Code.","Semana 13 e 14"
